1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56
1.017148656,1.017148656,0.99987716,1.01150312,1.019362162,1.024718684,0.257920011,1.653836554,0.859981679,1.023722593,1.009253616,1.028715942,1.034499322,1.009812848,1.010964208,1.007407834,1.006813045,0.996894554,0.993833982,0.993833982,0.99860937,1.020667513,1.021632105,1.012202758,1.014505688,1.015721284,1.019896102,1.015918145,1.001582426,1.015865768,1.217778041,1.030105743,1.007343177,1.00794664,1.011350051,1.026165891,1.012636614,1.007855238,0.991669786,1.021038484,1.007855238,1.011628667,1.010618044,1.011585355,1.011421293,1.021459271,1.027214571,1.01406499,1.018081778,1.01485741,1.011905522,1.021537155,1.030857714,1.021177269
1.017017072,1.017017072,0.999911635,1.011785499,1.019606382,1.024602363,0.334975253,1.660700494,0.883381236,1.0259661,1.008760176,1.026134264,1.036246758,1.009604945,1.011355012,1.007222537,1.008835012,0.996894554,0.995477468,0.995477468,0.999066697,1.021265717,1.022789878,1.014208689,1.014341419,1.014722262,1.020308747,1.015606427,1.00311421,1.016358578,1.021345552,1.028251463,1.007178907,1.007321099,1.009800919,1.028545835,0.997953767,1.007900388,0.992020898,1.023608353,1.007895925,1.011438355,1.010528795,1.011893792,1.011464605,1.024703764,1.028205096,1.014048584,1.017882716,1.01490991,1.011870659,1.021865279,1.033117307,1.02144948
1.016819696,1.016819696,1.00030086,1.011512331,1.019346372,1.022685711,0.409257761,1.665444092,0.904570974,1.026658758,1.008924656,1.030127839,1.034325631,1.009962327,1.011786608,1.006761267,1.008975627,0.996869322,0.994593303,0.994593303,0.99839122,1.020056166,1.022093374,1.014322495,1.014424999,1.014886531,1.020658576,1.017793712,1.00213411,1.017081366,1.021107952,1.028877003,1.007037241,1.007407834,1.010101862,1.02841363,0.997056196,1.007855238,0.991950135,1.022547331,1.00806865,1.011628667,1.01028992,1.012065729,1.011337293,1.022447581,1.027552949,1.013925537,1.018243653,1.01485741,1.011878862,1.021865279,1.034830115,1.021650292
1.0167868,1.0167868,0.999931373,1.011257322,1.019033202,1.022879666,0.471156649,1.671545635,0.925094108,1.028026705,1.009175718,1.028992532,1.034846178,1.010190494,1.011601601,1.006761267,1.011904101,0.996852501,0.993949102,0.993949102,0.99789841,1.021357183,1.019416434,1.014709383,1.014371381,1.015255547,1.017837079,1.016903764,1.001836847,1.016442684,1.021181282,1.029081224,1.007079294,1.007407834,1.010624898,1.026674734,0.997547429,1.007875713,0.993886331,1.021589995,1.007920863,1.011585355,1.010096983,1.011536792,1.011366168,1.022336019,1.028551677,1.013859912,1.018079591,1.01485741,1.011766069,1.021215856,1.028576071,1.021344218
1.01686575,1.01686575,1.000000849,1.011719707,1.019532958,1.025712932,0.548808493,1.675504204,0.944073237,1.027741168,1.008788072,1.027346416,1.031734742,1.010569456,1.011340538,1.00715131,1.01253884,0.996894554,0.994264763,0.994264763,0.997780136,1.020961621,1.021915963,1.013505351,1.014371381,1.015357,1.017292492,1.016961587,1.00263901,1.015931476,1.021107952,1.026949393,1.007122398,1.007407834,1.010526599,1.027415657,0.997121904,1.007920863,0.993552957,1.020142836,1.007855238,1.011536792,1.010024796,1.011245418,1.011464605,1.022476456,1.026697775,1.01406499,1.018147403,1.01485741,1.011909624,1.021697542,1.02655089,1.021044969
1.017135498,1.017135498,1.000107432,1.011754446,1.019510852,1.023606272,0.614604368,1.682357881,0.963402642,1.030305214,1.009388884,1.0251487,1.036748882,1.01117869,1.011293168,1.007123975,1.013880072,0.996894554,0.994359383,0.994359383,0.998668507,1.020628088,1.021216831,1.015602485,1.014371381,1.015334659,1.018621106,1.01654789,1.001944608,1.015935418,1.021065899,1.027896903,1.006742606,1.007610215,1.010720569,1.026572229,0.997387364,1.007920863,0.994261705,1.021300459,1.007920863,1.011749417,1.01020067,1.011737604,1.011300543,1.02279408,1.026587033,1.014015771,1.017204593,1.01485741,1.012008061,1.021865279,1.034611453,1.020592421
1.017477616,1.017477616,1.000618241,1.011586281,1.018973726,1.023972602,0.674515024,1.68645935,0.979232969,1.029714928,1.008545694,1.029490972,1.037088106,1.011491334,1.012132148,1.006816462,1.016191679,0.996894554,0.994690813,0.994690813,0.999509568,1.0202709,1.020513756,1.014144032,1.014371381,1.01502846,1.019024552,1.017632859,1.001567707,1.016398528,1.020943682,1.027827252,1.007286668,1.008043887,1.010748166,1.025043598,0.996895605,1.007920863,0.99436513,1.020438673,1.008084925,1.011501355,1.010060233,1.011956791,1.011366168,1.022345206,1.027403242,1.01393374,1.016878656,1.014863973,1.011880913,1.021799654,1.0314444,1.020844157
1.017398666,1.017398666,0.99955978,1.011493909,1.019271106,1.023959444,0.731114504,1.692966171,0.996122547,1.031440784,1.009319408,1.025273968,1.034609326,1.012236625,1.011817399,1.006754959,1.013576501,0.996869322,0.994005874,0.994005874,0.998601485,1.021641041,1.020246982,1.013856494,1.014305673,1.014864191,1.018174292,1.017409715,1.00263901,1.016558856,1.020894795,1.018823942,1.006742606,1.007473542,1.010693234,1.029890746,0.996894554,1.007920863,0.996263001,1.022008682,1.007920863,1.011628667,1.01036867,1.011812417,1.011421293,1.019969586,1.027835956,1.013974756,1.017884904,1.01485741,1.012149565,1.021537155,1.027957361,1.021231081
1.017740784,1.017740784,0.999848212,1.011884187,1.019606382,1.024123924,0.787037642,1.696767103,1.012515,1.030590488,1.00877965,1.02834277,1.037623916,1.013251927,1.011474228,1.006016139,1.016922352,0.996894554,0.994425091,0.994425091,0.998100791,1.021257569,1.020306119,1.015620883,1.014371381,1.014927007,1.017905152,1.016112378,1.001927524,1.015687042,1.021042244,1.016126234,1.007037241,1.008314604,1.010334468,1.026418473,0.996894554,1.007855238,0.997120324,1.021301771,1.007904588,1.011829479,1.010417232,1.011366168,1.01129398,1.022433144,1.026993087,1.01417163,1.016998968,1.01485741,1.01208599,1.021702792,1.032908096,1.021850579
