1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
20.5,20.5,18.74898911,20.43898773,23.5,159.35110469999998,17.50149727,18.41832733,28.80632401,72.58892059,26.33501053,84.43837738,178.25,17.75,24.5,27.68663406,24.65674591,28.37722778,20.64570808,20.64570808,20.74901009,24.29540825,22.75,20.46706581,213.75555419999998,18.75,19.25,14.36955547,28.49370575,14.0,12.6626749,10.25,31.66900063,12.19849968,20.0,43.45149994,34.36194611,,38.12348175,16.25,21.4030304,17.123987200000002,24.25,19.51047897,240.81854249999998,22.75,22.25,32.0,76.45606232,,22.28947449,18.0,16.75,-1.75,42.57584763,22.80210495
20.5,20.5,18.50594139,19.73103714,23.5,159.60148619999998,16.75303078,18.46169281,28.69361305,74.38723755,26.41386223,86.16348267,178.2780609,17.84287071,24.5,27.68787575,24.59381294,28.12674713,20.77878761,20.77878761,21.49851418,24.20100975,23.29341316,20.2872982,17.75,18.75,19.37171745,14.26964855,28.42710114,14.0,12.75,10.25,31.75,12.25,20.10029984,43.451904299999995,34.72475433,,38.43564224,15.25,21.63339996,16.75,24.07638931,19.99949646,50.78853607,22.69158363,22.08030319,31.89221573,76.70594025,,22.35523796,17.75,16.80757523,-2.0,42.89818573,22.80321312
20.56944466,20.56944466,18.75,20.0,23.455356600000002,159.85150149999998,17.25,18.92178154,28.30393219,76.18556213,26.5,87.68006134,178.5,18.09306908,24.5,27.33734894,24.5,27.74294281,21.67425728,21.67425728,21.00199509,25.0,22.87751961,20.59713936,17.57983971,18.47023773,19.56584167,14.16974163,28.36049652,14.0,12.58632755,10.25,31.75,12.19910145,20.0,42.95249939,34.63827515,,37.93526077,15.58882236,21.518999100000002,16.41966057,23.92465019,19.74604034,51.69810486,23.11477089,22.33069229,31.93181801,76.94011688,,22.5,17.39040375,17.25,-1.75,42.82390976,22.75
20.75,20.75,18.5,19.97817421,23.5,160.25,17.25,18.36826324,28.5,77.98387909,26.5,89.18386841,178.27728269999997,18.59318542,24.5,27.21980286,25.06584167,28.12080956,21.04599953,21.04599953,21.75247574,24.39900017,21.75,20.30838394,17.57474709,19.11055756,19.06487083,14.06983471,28.29389191,14.0,12.66399956,10.25,31.5,12.19960117,20.0,42.64128113,34.36345291,,37.8125,15.79183483,21.23434258,16.70665359,23.80566788,18.75598717,51.03030396,23.0,21.66866302,31.89406013,76.70243073,,22.43787956,17.67970276,17.11653328,-1.9618055819999998,43.02694702,22.94639206
20.68273163,20.68273163,19.49554443,19.52000046,23.29518127,160.3500061,17.25,18.92641068,28.89121819,79.67262268,26.412376399999996,90.68058014,178.5,19.0,24.5,27.47044182,24.53842354,27.878244399999996,20.75,20.75,20.74900246,24.69736862,22.54191589,20.65322495,17.36584091,18.96717262,19.19736862,14.15171337,28.76355362,14.0,12.58549976,10.25,31.98795128,12.25,19.75,42.95349884,34.47772217,,38.25,15.95742607,21.5,17.5,24.5945549,20.24703026,51.2728157,22.43972397,21.90826607,32.14371109,77.10148621,,22.39603996,17.67963982,16.92763138,-1.75,42.89415359,23.0
20.5,20.5,19.00149727,19.97925186,23.45386887,160.6000061,17.24308395,18.46245003,28.69797897,81.42284393,26.5,91.70039368,178.5,19.59158325,24.41815567,26.88805199,24.02024269,27.74040413,20.92326736,20.92326736,21.0,24.59901047,23.42137146,19.946039199999998,18.21157646,18.75,19.0,14.34930801,28.84059334,14.0,12.5,10.25,31.42623711,12.20059872,19.84799957,43.29650116,34.47645187,,38.31337357,15.83582878,21.39970016,16.83782387,23.65369225,18.75148201,51.46556854,22.86776352,21.75,32.10425186,77.35179901,,22.60458183,17.59090996,17.37722778,-1.75,42.85474396,22.80555534
20.56749916,20.56749916,18.75395203,20.47668648,23.45491028,160.75,17.49550819,18.32584763,28.94713402,82.81237793,26.5,93.20290375,178.5257874,20.0,24.5,27.02877045,24.09059334,27.63019753,21.25,21.25,21.00792122,24.698999399999998,21.87154198,20.8057766,18.25,18.2181282,19.98652649,14.30339336,28.8426857,14.0,12.75,10.25,31.57500076,12.0,20.0,41.933631899999995,33.72991943,,38.25757599,15.75,21.736841199999997,17.0,23.92222214,19.99950027,50.99141312,23.38080788,22.07983971,32.0,77.15000153,,22.44331932,17.18132401,17.059879300000002,-1.75,43.10429001,22.75
20.5,20.5,19.0,19.29299927,23.296278,161.0,17.25909042,19.03528214,28.606000899999998,84.20833588,26.5,94.67605591,178.5,20.77012062,24.5,28.25,24.40918159,28.11077881,21.26969719,21.26969719,21.74750519,24.889898300000002,22.91916084,20.75,18.0,18.85735893,19.20110893,14.25,28.33032036,14.0,12.58399963,10.07135773,31.83885574,12.25,20.0,42.63650131,34.13492203,,38.31138611,16.0,21.0,17.25,24.17079163,19.75,51.23962402,22.81138611,22.25,32.06437302,77.05000305,,22.5,17.88844681,17.31098747,-1.9638553859999999,42.64141464,23.0
20.68366241,20.68366241,19.25,19.25,23.45198059,161.0984955,17.2276783,19.5,28.55090714,85.3542099,26.5,95.92112732,178.52313230000001,22.88069344,24.580356600000002,27.72389603,24.58903503,28.02419281,21.07855797,21.07855797,20.76008034,24.40247536,22.15151596,20.90039444,17.96307373,18.53613853,18.56881142,14.29901028,29.087623600000004,14.21656704,12.66650009,10.25,31.25,12.25,19.9034996,43.02500153,34.52054214,,38.25,15.70858288,21.61826324,16.59181595,24.0,19.50199509,51.5199585,23.44870567,21.8445549,32.35303116,77.29940033,,22.75,18.04999924,16.68712807,-1.784638524,42.64257431,22.94246101
20.5,20.5,18.25594139,19.75,23.25,161.59689330000003,17.48203659,19.32271004,28.55148506,86.66046143,26.5,96.94989777,178.75,26.04108238,24.5,27.777227399999997,24.42757988,28.0,21.17300034,21.17300034,20.50592804,24.90200043,22.67193604,20.5,17.38709641,18.5,19.29681206,14.5,28.16032028,14.0,12.5,10.25,30.9829998,12.20259476,20.09600067,42.45550156,34.25,,38.25,15.25,21.86995888,17.25,23.98835945,19.50151253,52.21717072,23.06098747,22.34331322,32.25,77.34817505,,22.79797935,17.5,17.06137657,-1.964285731,42.53592682,23.0
